iter	RMSE
0	9.003269947
1	8.647827454
2	8.323466378
3	8.037935672
4	7.787457168
5	7.54664091
6	7.338258974
7	7.144156368
8	6.966563767
9	6.811731544
10	6.663211849
11	6.544471382
12	6.416281567
13	6.319970397
14	6.225757184
15	6.139622316
16	6.047448992
17	5.973052724
18	5.906073551
19	5.852498069
20	5.791463059
21	5.744763008
22	5.699340933
23	5.657907488
24	5.609845412
25	5.558630637
26	5.521080128
27	5.489718925
28	5.460597522
29	5.433379137
30	5.390269227
31	5.362992941
32	5.338504789
33	5.318828875
34	5.302149946
35	5.272159405
36	5.251436726
37	5.238325058
38	5.20594192
39	5.19213024
40	5.179778945
41	5.165704226
42	5.154229714
43	5.14664518
44	5.126474149
45	5.116329557
46	5.091688993
47	5.084821604
48	5.078715919
49	5.070529171
50	5.054162372
51	5.047950833
52	5.042604279
53	5.037931576
54	5.026183664
55	5.017855239
56	5.014253532
57	5.007541125
58	4.995742382
59	4.984322392
60	4.979695556
61	4.96658303
62	4.951971398
63	4.943476917
64	4.938830922
65	4.934451923
66	4.929584397
67	4.92243354
68	4.919411787
69	4.917258735
70	4.915340611
71	4.906847104
72	4.905003248
73	4.900966136
74	4.899888779
75	4.898777812
76	4.89763202
77	4.896255786
78	4.890435532
79	4.889025246
80	4.884785069
81	4.881560394
82	4.8802709
83	4.878201066
84	4.876194054
85	4.874073878
86	4.868223199
87	4.867540427
88	4.863448418
89	4.862717222
90	4.862245184
91	4.856252444
92	4.848895447
93	4.846480148
94	4.84230834
95	4.841497536
96	4.838033303
97	4.833743175
98	4.831643236
99	4.82854843
100	4.827727391
101	4.826954065
102	4.826564686
103	4.825575702
104	4.822541809
105	4.821862427
106	4.819789929
107	4.816776246
108	4.8163887
109	4.81473152
110	4.813915082
111	4.813469709
112	4.812515491
113	4.811964223
114	4.810737433
115	4.809458066
116	4.808546264
117	4.804626218
118	4.804145605
119	4.803639075
120	4.803062824
121	4.797121883
122	4.79634899
123	4.793801366
124	4.793614188
125	4.791763765
126	4.790972113
127	4.790332971
128	4.789578693
129	4.789069305
130	4.788085131
131	4.786146535
132	4.785163318
133	4.783777503
134	4.783050071
135	4.781050304
136	4.779865832
137	4.778388949
138	4.776340781
139	4.77390091
140	4.772796507
141	4.771453734
142	4.770466694
143	4.770136209
144	4.769386522
145	4.768450884
146	4.767457596
147	4.767028424
148	4.765857482
149	4.764200005
150	4.763685757
151	4.760618145
152	4.75922657
153	4.758757364
154	4.757372922
155	4.755736166
156	4.755306739
157	4.754298329
158	4.752795522
159	4.751411711
160	4.750274376
161	4.749196531
162	4.748031342
163	4.746647714
164	4.745743701
165	4.745076405
166	4.744568441
167	4.742435919
168	4.741714365
169	4.740305139
170	4.739137519
171	4.738718732
172	4.737754431
173	4.736330769
174	4.735981545
175	4.735210025
176	4.734792217
177	4.734230753
178	4.732381261
179	4.731503484
180	4.729996236
181	4.729289984
182	4.728379993
183	4.726631029
184	4.725462437
185	4.7248954
186	4.724153808
187	4.722541487
188	4.720853193
189	4.719906758
190	4.719043686
191	4.718496372
192	4.71695873
193	4.716210451
194	4.715568839
195	4.715253873
196	4.714773346
197	4.714076481
198	4.712416158
199	4.711777866
200	4.710707211
201	4.710424812
202	4.70973283
203	4.70842358
204	4.707114304
205	4.706177062
206	4.705712627
207	4.705321091
208	4.704736066
209	4.703960682
210	4.703493284
211	4.702895447
212	4.702502251
213	4.70151619
214	4.701149784
215	4.700667746
216	4.700084106
217	4.699264948
218	4.69663873
219	4.696113812
220	4.695460064
221	4.694398507
222	4.693723118
223	4.692428152
224	4.692057843
225	4.691386332
226	4.691019029
227	4.690599643
228	4.689696324
229	4.689222662
230	4.688279246
231	4.687654768
232	4.687324231
233	4.686930775
234	4.685175472
235	4.68487416
236	4.684382051
237	4.68384459
238	4.683262567
239	4.682760926
240	4.681755597
241	4.681104088
242	4.679565482
243	4.678899435
244	4.678277234
245	4.677810783
246	4.676898394
247	4.676201469
248	4.67577278
249	4.674987741
250	4.674183014
251	4.673264665
252	4.672405629
253	4.672043899
254	4.671039093
255	4.670196896
256	4.669037917
257	4.668325339
258	4.667684873
259	4.667311894
260	4.667012647
261	4.666153293
262	4.665664867
263	4.664302235
264	4.663850347
265	4.663580742
266	4.663242972
267	4.662817222
268	4.662320152
269	4.661590861
270	4.660596521
271	4.659917282
272	4.6595038
273	4.659005425
