iter	Passed	Remaining
0	9	9931
1	21	10822
2	33	11158
3	45	11245
4	54	10927
5	68	11343
6	79	11323
7	90	11162
8	100	11080
9	111	11012
10	117	10606
11	123	10202
12	129	9825
13	134	9454
14	138	9118
15	143	8809
16	146	8479
17	150	8188
18	153	7936
19	157	7720
20	161	7514
21	164	7318
22	168	7141
23	171	6993
24	175	6853
25	179	6713
26	182	6584
27	186	6463
28	190	6368
29	194	6274
30	197	6184
31	201	6090
32	205	6020
33	209	5938
34	212	5856
35	216	5784
36	219	5723
37	223	5657
38	227	5599
39	230	5538
40	234	5477
41	238	5439
42	242	5388
43	245	5339
44	249	5293
45	254	5273
46	258	5231
47	261	5187
48	264	5142
49	268	5107
50	272	5072
51	276	5033
52	279	4996
53	283	4962
54	287	4937
55	291	4905
56	294	4871
57	298	4843
58	302	4820
59	305	4792
60	309	4761
61	313	4737
62	317	4725
63	321	4701
64	325	4676
65	328	4649
66	333	4638
67	336	4613
68	340	4590
69	344	4576
70	354	4640
71	358	4625
72	362	4608
73	368	4607
74	372	4591
75	376	4580
76	381	4571
77	385	4551
78	389	4536
79	393	4520
80	397	4510
81	401	4491
82	405	4479
83	408	4456
84	412	4444
85	416	4424
86	420	4407
87	423	4387
88	426	4368
89	430	4352
90	433	4333
91	437	4317
92	441	4301
93	445	4290
94	448	4276
95	452	4260
96	456	4248
97	460	4236
98	464	4223
99	467	4209
100	471	4193
101	475	4182
102	479	4172
103	482	4157
104	486	4142
105	489	4130
106	493	4122
107	497	4110
108	501	4096
109	504	4084
110	509	4076
111	512	4065
112	516	4053
113	519	4040
114	525	4047
115	529	4034
116	532	4021
117	536	4009
118	540	3999
119	544	3989
120	547	3977
121	551	3966
122	555	3957
123	559	3951
124	562	3939
125	566	3928
126	570	3918
127	574	3910
128	577	3901
129	581	3889
130	584	3879
131	588	3872
132	592	3863
133	596	3853
134	599	3842
135	603	3832
136	607	3826
137	611	3816
138	614	3807
139	618	3798
140	622	3793
141	626	3783
142	629	3773
143	633	3763
144	636	3755
145	640	3746
146	644	3738
147	647	3728
148	651	3719
149	655	3714
150	659	3706
151	662	3698
152	666	3690
153	670	3684
154	674	3677
155	678	3670
156	682	3662
157	686	3659
158	690	3652
159	694	3644
160	697	3635
161	701	3630
162	706	3626
163	709	3618
164	713	3610
165	717	3607
166	721	3600
167	725	3593
168	729	3584
169	733	3580
170	736	3572
171	740	3563
172	743	3555
173	747	3549
174	751	3542
175	754	3534
176	758	3526
177	761	3518
178	766	3514
179	769	3507
180	773	3501
181	777	3494
182	782	3492
183	786	3488
184	790	3481
185	793	3474
186	797	3469
187	801	3462
188	805	3455
189	808	3448
190	812	3442
191	816	3435
192	820	3429
193	824	3423
194	827	3417
195	831	3410
196	834	3402
197	838	3395
198	841	3388
199	846	3385
200	850	3379
201	853	3372
202	857	3365
203	861	3359
204	864	3353
205	868	3346
206	872	3340
207	875	3333
208	879	3329
209	883	3323
210	887	3317
211	890	3310
212	895	3307
213	898	3301
214	902	3294
215	905	3287
216	910	3285
217	914	3280
218	918	3274
219	921	3268
220	926	3266
221	930	3260
222	933	3253
223	937	3248
224	941	3243
225	945	3237
226	948	3231
227	952	3224
228	956	3219
229	959	3213
230	963	3206
231	966	3199
232	969	3192
233	973	3188
234	977	3182
235	980	3175
236	984	3168
237	988	3164
238	992	3159
239	995	3153
240	999	3147
241	1003	3142
242	1006	3136
243	1010	3130
244	1013	3123
245	1017	3117
246	1021	3114
247	1024	3107
248	1028	3101
249	1032	3096
250	1036	3091
251	1040	3087
252	1043	3082
253	1047	3076
254	1051	3072
255	1055	3067
256	1059	3062
257	1062	3056
258	1066	3050
259	1070	3047
260	1074	3041
261	1078	3036
262	1081	3030
263	1086	3029
264	1090	3024
265	1093	3017
266	1096	3011
267	1101	3008
268	1105	3003
269	1109	2999
270	1112	2993
271	1117	2990
272	1121	2985
273	1124	2980
274	1128	2974
275	1131	2969
276	1135	2964
277	1139	2959
278	1143	2955
279	1147	2951
280	1151	2946
281	1154	2940
282	1158	2934
283	1161	2928
284	1166	2926
285	1170	2921
286	1174	2917
287	1178	2912
288	1182	2908
289	1185	2901
290	1188	2895
291	1192	2890
292	1196	2886
293	1200	2882
294	1203	2876
295	1206	2870
296	1210	2866
297	1214	2861
298	1218	2856
299	1221	2850
300	1225	2845
301	1229	2841
302	1233	2836
303	1236	2830
304	1240	2825
305	1243	2820
306	1247	2816
307	1251	2811
308	1254	2806
309	1258	2801
310	1262	2797
311	1266	2792
312	1270	2788
313	1273	2782
314	1278	2779
315	1281	2774
316	1285	2769
317	1288	2764
318	1292	2760
